228544#2014-11-06 12:39:28#228544#2014-11-07 02:13:55#3918556#0.3817#0106000020E610000001000000010300000001000000070000002EBD2639DA7960406D12CD4DE54A46404AC91759777A6040D2BCEB85654B4640E16203F1137B6040F053F23DE54B46402DBFE346377B604068C1F659864A46407552E3CE9A7A6040F73A0C5A064A4640DF5CD3EEFD796040D33617E2854946402EBD2639DA7960406D12CD4DE54A4640#0101000020E61000001337F0C7887A6040E40F02B3B54A4640#Дальневосточный#Приморский край#Пограничный#нелесной#2014-11-07#f
228544#2014-11-06 12:39:28#228544#2014-11-07 02:13:55#3918556#0.3817#0106000020E610000001000000010300000001000000070000002EBD2639DA7960406D12CD4DE54A46404AC91759777A6040D2BCEB85654B4640E16203F1137B6040F053F23DE54B46402DBFE346377B604068C1F659864A46407552E3CE9A7A6040F73A0C5A064A4640DF5CD3EEFD796040D33617E2854946402EBD2639DA7960406D12CD4DE54A4640#0101000020E61000001337F0C7887A6040E40F02B3B54A4640#Дальневосточный#Приморский край#Ханкайский#нелесной#2014-11-07#f
228544#2014-11-06 12:39:28#228544#2014-11-07 04:01:33#3918556#0.3817#0106000020E610000001000000010300000001000000070000002EBD2639DA7960406D12CD4DE54A46404AC91759777A6040D2BCEB85654B4640E16203F1137B6040F053F23DE54B46402DBFE346377B604068C1F659864A46407552E3CE9A7A6040F73A0C5A064A4640DF5CD3EEFD796040D33617E2854946402EBD2639DA7960406D12CD4DE54A4640#0101000020E61000001337F0C7887A6040E40F02B3B54A4640#Дальневосточный#Приморский край#Ханкайский#нелесной#2014-11-07#f
228544#2014-11-06 12:39:28#228544#2014-11-07 04:01:33#3918556#0.3817#0106000020E610000001000000010300000001000000070000002EBD2639DA7960406D12CD4DE54A46404AC91759777A6040D2BCEB85654B4640E16203F1137B6040F053F23DE54B46402DBFE346377B604068C1F659864A46407552E3CE9A7A6040F73A0C5A064A4640DF5CD3EEFD796040D33617E2854946402EBD2639DA7960406D12CD4DE54A4640#0101000020E61000001337F0C7887A6040E40F02B3B54A4640#Дальневосточный#Приморский край#Пограничный#нелесной#2014-11-07#f
228545#2014-11-06 12:39:28#228545#2014-11-06 12:39:28#1840895#0.0153#0106000020E610000001000000010300000001000000050000001530CBE851876040916986B77B4346401B40C760E887604036B3AF9FF24346401D1B26BF0A8860402E935D409A424640160B2A4774876040240668F8224246401530CBE851876040916986B77B434640#0101000020E610000006A1E850AE8760408896BFDF0A434640#Дальневосточный#Приморский край#Хорольский#нелесной#2014-11-07#f
228546#2014-11-06 12:39:28#228248#2014-11-06 12:39:28#3872689#0.0143#0106000020E610000001000000010300000001000000070000006AE005195A8360402BFC19DEAC0B4640493E02C1F4836040F65435DE290C4640FA44E0408F84604057E7399EA60C46400216D076B2846040520E8721490B46404EB2591E19846040FCA844E1CC0A4640E321842E7E836040781D79394F0A46406AE005195A8360402BFC19DEAC0B4640#0101000020E61000001B931E6E068460403F1FDA037B0B4640#Дальневосточный#Приморский край#Хорольский#нелесной#2014-11-07#f
228546#2014-11-06 12:39:28#228248#2014-11-06 12:39:28#3872689#0.0143#0106000020E610000001000000010300000001000000070000006AE005195A8360402BFC19DEAC0B4640493E02C1F4836040F65435DE290C4640FA44E0408F84604057E7399EA60C46400216D076B2846040520E8721490B46404EB2591E19846040FCA844E1CC0A4640E321842E7E836040781D79394F0A46406AE005195A8360402BFC19DEAC0B4640#0101000020E61000001B931E6E068460403F1FDA037B0B4640#Дальневосточный#Приморский край#Михайловский#нелесной#2014-11-07#f
228547#2014-11-06 12:39:28#228547#2014-11-06 12:39:28#1915636#\N#0106000020E61000000100000001030000000100000005000000FAD4D258928560401FE340FE080946402B3FDB302B86604092D45B668509464029E308E74D8660408CF07A5928084640652A2FBFB485604061CCAF49AB074640FAD4D258928560401FE340FE08094640#0101000020E6100000F339300AF08560408AC2246E98084640#Дальневосточный#Приморский край#Михайловский#нелесной#2014-11-07#f
228547#2014-11-06 12:39:28#228547#2014-11-06 12:39:28#1915636#\N#0106000020E61000000100000001030000000100000005000000FAD4D258928560401FE340FE080946402B3FDB302B86604092D45B668509464029E308E74D8660408CF07A5928084640652A2FBFB485604061CCAF49AB074640FAD4D258928560401FE340FE08094640#0101000020E6100000F339300AF08560408AC2246E98084640#Дальневосточный#Приморский край#Хорольский#нелесной#2014-11-07#f
228548#2014-11-06 12:39:28#228548#2014-11-06 12:39:28#2762346#0.131756139973878#0106000020E610000001000000010300000001000000090000004C4E2F29C57360400387C4FB790F464007DA9BD7EF73604076AFADE09D0F4640A3EE5E49ED73604013B7E953B70F4640F9A943D1907460404609FA0B3D104640C6E5D3BEB4746040040D2E04D60E4640B3D28F4E8A74604016354133B30E46405C01C7968C746040D44124649C0E4640D6FECEF6E8736040A9254664120E46404C4E2F29C57360400387C4FB790F4640#0101000020E61000005A6636CC3C7460405582F287280F4640#Дальневосточный#Приморский край#Октябрьский#нелесной#2014-11-07#f
